岗位描述,技术栈
【岗位职责】1、负责大数据平台产品后端系统开发，处理大数据量、高并发、实时&离线计算等场景下的平台技术架构设计和产品特性的开发工作；2、负责大数据平台产品的应用开发实施，解决大数据平台重大技术疑难问题。3、负责大数据平台前沿技术的探索和研究【岗位技能要求】岗位要求：1、精通java、C++等至少一种开发语法，至少1年以上架构设计和代码开发工作经验；2、精通大数据hadoop(Flink\Spark\Hudi\kafka等）实时组件的原理，熟悉实时数据计算框架，有实时计算相关工作经验者优先；3、熟悉至少一种主流数据库，如PostgreSQL、mySQL、高斯（GuassDB 200、open guass）、Oracle、Sybase，HANA等；4、熟悉数据仓库及数据标签体系建设理论与方法，了解数据仓库及数据标签等OLAP领域技术架构，有大型湖仓一体建设经验者优先【岗位优势】1、对标业界主流的商业和开源数据库，深入掌握各种数据库的技术特性及适用业务场景，围绕GaussDB、MySQL、PostgreSQL等多种数据库构建治理能力，帮助企业用好、管好数据库；深入融入AI和机器学习技术，更好的解决企业在使用数据库方面的诸多难题；2、围绕业界主流大数据Hadoop体系，应用Spark、Flink、Hudi等技术栈构建流、批一体技术能力，支撑企业数据湖场景落地；3、构建湖仓一体的数据加工治理体系，实现数据采集、存储、搬迁、加工、治理、运营等全流程端到端数据处理工作的多快好省，使能企业内部各领域数据共享，支撑业务的数字化转型。,"技术栈:

1. Java
2. C++
3. Hadoop
4. Flink
5. Spark
6. Hudi
7. Kafka
8. PostgreSQL
9. MySQL
10. GaussDB
11. Oracle
12. Sybase
13. HANA"
针对程序分析提供业务支撑,"技术栈: 

(无技术栈信息)"
岗位职责：1、参与产品需求的沟通、讨论和协调；2、参与和负责后端接口的维护和开发。任职要求：1、精通python，熟悉Django、DjangoRestFramwork开发框架；2、熟悉使用linux，了解linux常用命令及工具；3、熟悉使用docker，了解docker 服务发布更新过程；4、熟悉redis、posgresGis、mongo等数据库技术；5、熟悉使用git工具，掌握基本的协同开发流程。,"技术栈: 

1. Python
2. Django
3. DjangoRestFramework
4. Linux
5. Docker
6. Redis
7. PostgresGIS
8. MongoDB
9. Git"
【工作职责】1、负责华为大数据平台设计和核心代码开发，软件架构看护；2、负责企业级大数据集群管理平台FusionInsight Manager的设计和开发；3、负责Hadoop/流处理/批处理/实时风控/搜索引擎/HetuEngine/Hudi/CarbonData/ClickHouse等产品设计和开发；4、负责大数据组件开源社区动态跟踪、竞争力分析和规划技术演进。【任职要求】1.掌握Java/Scala/Python/C/C++语言，熟悉Linux/Unix操作系统，熟练掌握常用设计模式；2、有分布式系统设计开发经验，能独立承担软件模块设计和开发工作；3、熟悉大数据相关组件Hadoop/Flink/HBase/Spark/Sqoop/Oozie/Flume/Kafka/Storm/Hive/Elasticsearch/Presto/CarbonData/Hudi/ClickHouse内核源码，系统性能调优和分布式架构经验优先；4、有云服务化开发经验，DevOps实践经验，开源社区项目代码贡献者优先；【职位类型】德科OD【工作地点】深圳/西安/武汉/杭州/北京/南京,"技术栈:

1. 编程语言：Java、Scala、Python、C、C++
2. 操作系统：Linux、Unix
3. 设计模式：常用设计模式
4. 大数据组件：Hadoop、Flink、HBase、Spark、Sqoop、Oozie、Flume、Kafka、Storm、Hive、Elasticsearch、Presto、CarbonData、Hudi、ClickHouse
5. 云服务化：云服务化开发
6. DevOps：DevOps实践"
职责描述：1、负责广告系统平台的开发和维护。2、负责广告投放相关的数据流建设、数据统计、分析，为业务方提供更好的数据支撑。3、对广告投放进行性能优化、数据/效果统计、个性化广告排序与auction算法任职要求：1、具备优秀的编码能力，熟悉 Linux 开发环境，熟悉 Java 和 Python 语言优先；2、熟悉机器学习的理论基础，有广告推荐算法研发经验优先；3、具有优秀的编程能力，熟悉Spring 、Redis、MongoDB、Thrift等常用组件优先;4、责任心强，积极主动，有良好的沟通能力和团队合作能力；；6、对数据敏感，具备优秀的逻辑思维，对解决挑战性问题充满热情，善于解决问题和分析问题；【加分项】1、熟悉Redis，MongoDB，RabbitMQ，RocksDB等多种开源系统架构、原理、源码；2、熟悉前端开发框架如Vue，react,"技术栈：

1. Java
2. Python
3. Spring
4. Redis
5. MongoDB
6. Thrift
7. RabbitMQ
8. RocksDB
9. Vue
10. React"
岗位职责：1、负责华为FusionInsight大数据平台设计和核心代码开发，软件架构看护；2、负责Hadoop/Spark/图数据库/流处理/搜索引擎/协同计算等产品设计和开发；3、负责Hadoop/Spark生态圈组件维护，开源社区动态跟踪、竞争力分析和规划技术演进；业务技能：1、3年以上Java/Scala/Python/C/C++开发经验，熟悉Linux/Unix操作系统原来，熟练掌握常用设计模式；2、有分布式系统设计开发经验，能独立承担软件模块设计和开发工作；3、熟悉大数据相关组件Hadoop/HBase/Spark/Sqoop/Oozie/Flume/Kafka/Flink /Storm/Hive/Elasticsearch内核源码，系统性能调优和分布式架构经验优先；4、熟练掌握Spring MVC、容器等技术，理解SOA、微服务等关键理念与技术，并有实践应用经验；专业知识要求：1、精通Java/Scala/Python/C/C++中的一种或多种；2、有完整的项目开发经验，具备系统核心模块看护经验；3、熟悉大数据基础知识，具有开源项目开发经验者优先。,"技术栈：

1. 编程语言：Java、Scala、Python、C、C++
2. 操作系统：Linux、Unix
3. 设计模式：常用设计模式
4. 大数据组件：Hadoop、HBase、Spark、Sqoop、Oozie、Flume、Kafka、Flink、Storm、Hive、Elasticsearch
5. 框架：Spring MVC
6. 容器技术：容器
7. 架构模式：SOA、微服务
8. 其他技术：分布式系统设计、系统性能调优"
职位：有教学经验的编程老师加全栈工程师我们正在寻找一位热衷于废寝忘食地在编程世界中冒险，并热衷于带领学生们一同探索的编程老师。你将掌握班级的舵轮，驶向AI领域的深渊，利用你的全栈开发技术，引导孩子们构建项目，迎接挑战，达成目标。要求:- 本科及以上学历，硕士优先，毕业于985或211系统- 至少五年以上相关工作经验- 需具备丰富的编程教学经验，在此基础上有指导学生项目的经验- 曾经带领学生在大赛中取得成绩者优先- 在AI领域有一定的研究和探索，能够准确把握和引领行业的最新动态- 精通全栈开发，具有较强的软件开发技能- 能够很好地激发和引导学生的学习兴趣，以及进行创新性思维的培养职责:- 全面负责学生的编程教学工作，制定教学计划和课程内容- 指导学生的项目开发，培养他们的团队协作和实际操作能力- 带领并准备学生参加各类竞赛，打造有竞争力的编程团队- 对AI领域的最新动态保持敏感，将相关技术科普给学生，研究学习应用- 能够手把手教授全栈开发，让学生掌握更多的技能,"技术栈：

1. 全栈开发
2. AI相关技术（不具体指定）"
【工作职责】1、负责华为大数据平台设计和核心代码开发，软件架构看护；2、负责Hadoop/流处理/批处理/实时风控/搜索引擎/HetuEngine/Hudi/CarbonData/ClickHouse等产品设计和开发；3、负责大数据组件开源社区动态跟踪、竞争力分析和规划技术演进。【任职要求】1.掌握Java/Scala/Python/C/C++语言，熟悉Linux/Unix操作系统，熟练掌握常用设计模式；2、有分布式系统设计开发经验，能独立承担软件模块设计和开发工作；3、熟悉大数据相关组件Hadoop/Flink/HBase/Spark/Sqoop/Oozie/Flume/Kafka/Storm/Hive/Elasticsearch/Presto/CarbonData/Hudi/ClickHouse内核源码，系统性能调优和分布式架构经验优先；4、有云服务化开发经验，DevOps实践经验，开源社区项目代码贡献者优先,"技术栈:

1. 编程语言：Java、Scala、Python、C、C++
2. 操作系统：Linux、Unix
3. 设计模式：常用设计模式
4. 大数据组件：Hadoop、Flink、HBase、Spark、Sqoop、Oozie、Flume、Kafka、Storm、Hive、Elasticsearch、Presto、CarbonData、Hudi、ClickHouse
5. 云服务化：云服务化开发
6. DevOps：DevOps实践"
工作职责:【工作职责】- 负责对话式大模型产品的数据平台及大数据计算架构的研发和优化，挖掘和释放数据价值- 负责对话式大模型产品的数据闭环系统研发，加速提升产品效果- 支持日常业务分析、算法工程化，提升团队效率任职资格:【职位要求】- 计算机相关专业本科及以上学历，2年以上互联网公司或大型企业工作经验- 熟练掌握shell、python语言，代码基本功扎实- 有大数据相关背景，熟练使用hadoop、spark、hive、elasticsearch等分布式计算和存储系统- 有数据挖掘背景，熟悉主流机器学习算法者优先- 熟悉java/go语言者优先，有平台开发经验者优先，有云原生、微服务架构、docker/k8s经验者优先- 喜欢挑战，乐于与优秀的人共事,"技术栈: 

1. Shell
2. Python
3. Hadoop
4. Spark
5. Hive
6. Elasticsearch
7. Java
8. Go
9. Docker
10. K8s"
职位描述1、负责教育相关产品的后台开发工作；2、主要实现语言为python和golang。职位要求1、本科及以上学历，计算机相关专业优先；2、良好基础知识，熟悉常用算法和数据结构；3、具有技术钻研精神，追求完美，并具有较强的自驱学习能力；4、掌握PHP、Go、Java、Python、C/C++等任意一门编程语言；Go/C++语言优先；5、熟悉MySQL的使用与优化；熟悉Redis/Mongodb/Memcache等NoSQL技术的优先；6、积极乐观，认真负责，乐于协作；7、每周可以实习4天以上，连续实习3个月以上。,"技术栈：

1. PHP
2. Go
3. Java
4. Python
5. C/C++
6. MySQL
7. Redis
8. Mongodb
9. Memcache"
招聘要求：python开发经验2年左右熟悉python Web框架有做过图像识别和语音识别经验的优先考虑家在内蒙古的优先考虑可以兼职,"技术栈: 

1. Python
2. Python Web框架"
"1、JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；2、熟悉Linux常用命令，熟悉Linux环境下开发调试和部署；3、具有JAVA项目开发经验，精通JAVA语言，J2EE体系结构；4、熟练掌握MySQL/PostgreSQL等常用数据库；5、了解Spring、SpringMVC、Springboot、Mybatis等开发框架；6、有大数据开发经验(Spark/Mapreduce/Flink)、熟悉Hadoop生态者优先。7、工作认真负责，有较强的事业心和抗压能力。1、3年以上Java开发经验，有3年以上独立系统设计和研发经验，熟练使用Linux系统，掌握一门额外的编程语言(Python,Scala,C/C++等)优先；2、熟练使用Spark、Hadoop、Hbase、Hive、Zookeeper、Kafka、Flink等大数据组件，具有数据仓库相关经验者优先；3、具备大数据软件性能调优能力，具有海量数据系统开发经验者优先，开源社区项目代码贡献者优先；4、有完整的项目开发经验，具备系统核心模块看护经验。","技术栈：

1. Java
2. Linux
3. J2EE
4. MySQL
5. PostgreSQL
6. Spring
7. SpringMVC
8. Springboot
9. Mybatis
10. Spark
11. Mapreduce
12. Flink
13. Hadoop
14. Hbase
15. Hive
16. Zookeeper
17. Kafka
18. Python
19. Scala
20. C/C++"
工作职责：1.负责公司相关项目的后端接口功能设计、开发和实现。2.负责部分视觉识别算法模型开发3.参与后端技术体系建设、架构搭建、类库开发4.参与相关软硬结合项目的硬件对接（对接TCP/IP）5.解决各种技术难题，保持技术更新岗位要求：1.本科以上学历，2年以上python开发经验。2.熟练掌握Python及Django/Drf框架3.熟悉深度学习相关知识，熟悉Pytorch4.熟悉Modbus、TCP/IP、MQTT、OPC等通信协议5.熟悉Git/Postgresql/Redis/Nginx/docker/Rabbitmq等6.了解前端开发技术，例如Vue/webpack/elementui等7.有良好的编码习惯，重视代码质量，善于利用工具8.较强的责任心、学习能力强，有较强团队合作意识,"技术栈：

1. Python
2. Django
3. Drf
4. Pytorch
5. Modbus
6. TCP/IP
7. MQTT
8. OPC
9. Git
10. Postgresql
11. Redis
12. Nginx
13. Docker
14. Rabbitmq
15. Vue
16. Webpack
17. Elementui"
两年以上web开发经验2 熟练使用python3 熟练使用django/flask4 掌握前端框架vue，掌握mysql/mariadb等数据库5 独立完成Linux系统环境下的项目开发部署6 如有小程序开发经验更佳7 阿里云产品使用经验更佳8 了解存储相关知识加分9 了解多进程，多线程，协程。了解网络编程。,"技术栈:

1. Python 3
2. Django
3. Flask
4. Vue
5. MySQL
6. MariaDB
7. Linux
8. 小程序（optional）
9. 阿里云产品（optional）"
Python岗位职责和任职要求：岗位职责：1. 负责Python项目的开发和维护，能够独立完成模块设计和编码工作；2. 参与系统架构设计和技术选型，能够根据业务需求进行技术方案设计和实现；3. 负责代码的测试、优化和维护，保证代码质量和系统稳定性；4. 能够与团队成员协作，完成项目进度和质量目标；5. 持续学习新技术，不断提升自己的技术水平。任职要求：1. 熟练掌握Python编程语言，熟悉C++#和Linux开发/部署经验；2. 具备分布式经验，熟悉分布式系统原理和技术；3. 具备良好的编程习惯和代码风格，能够编写高质量的代码；4. 具备较强的沟通能力和团队协作能力，能够与团队成员协作完成项目；5. 具备较强的学习能力和自我驱动能力，能够持续学习和掌握新技术。以上是Python岗位职责和任职要求，希望能够对您有所帮助。,"技术栈: 

1. Python
2. C++
3. Linux"
"python工程师（后台方向）1、负责软件系统的服务端研发;2、和甲方沟通对接，梳理业务需求，撰写技术方案和系统设计;3、根据产品需求,利用python编程语言进行软件实现和调试、测试；4、相关软件文档编写、归档。职位要求1、有扎实的计算机基础，计算机、自动化、机器人等相关专业、本科及以上学历，3年以上python开发经验；2、熟练掌握Python编程语言，熟练使用基本的数据结构和算法；3、熟悉下列框架中的其中几项：a.后端框架Flask、Django、Tornado、Zope等；b.MySQL、MongoDB数据库，InfluxDB时序数据库等；4、具备良好的编码习惯,结构清晰,命名规范,逻辑性强,代码冗余率低;5、具有良好的沟通能力，学习能力强，具备良好的团队协作精神。","技术栈: 

1. Python
2. Flask
3. Django
4. Tornado
5. Zope
6. MySQL
7. MongoDB
8. InfluxDB"
大数据平台高级运维/研发工程师岗位职责：1、负责海量分布式数据平台系统建设、全面参与项目的需求分析、架构设计和技术研究及关键技术的开发工作；2、负责相关开源系统的性能、稳定性、可靠性等方面的深度优化；3、进行大数据平台上用户画像、个性化推荐等数据挖掘产品的规划及研发；4、负责解决项目上线后生产环境的各种实际问题，保障大数据平台在生产上的安全、平稳运行；5、负责公司大数据平台的部署、管理、优化、监控报警，保障平台服务7*24稳定可靠高效运行.任职要求：1、计算机相关专业全日制统招本科及以上学历，并有3年以上Hadoop/HBase大数据平台实施经验；2、对Hadoop生态技术体系有深入了解，如HDFS、MapReduce、Zookeeper、HBase、Hive、Impala、Spark、Kylin等；3、有PB级别互联网或者金融交易数据量处理落地项目实施经验，熟悉整个大数据平台的处理流程和大规模分布式集群的环境搭建；4、熟悉互联网、移动互联网或电商等行业大数据应用场景及大数据算法，具有相关行业大型项目开发或实施经验优先；5、熟悉Linux/Unix环境下的Shell脚本、熟悉Python/Shell/Perl任意一种脚本语言；6、熟悉常用运维监控工具（nagios/ganglia/zabbix/grafana/openfalcon等）和相关插件的开发。比如邮件、短信、微信报警插件等；7、具备良好的服务意识，善于主动思考，自我驱动力强。有良好的沟通、协调能力，富有团队精神，有较强的文档编写能力；8、有大数据开发经验和阅读源码能力者优先。,"技术栈：

1. Hadoop
2. HBase
3. HDFS
4. MapReduce
5. Zookeeper
6. Hive
7. Impala
8. Spark
9. Kylin
10. Linux
11. Unix
12. Shell
13. Python
14. Perl
15. Nagios
16. Ganglia
17. Zabbix
18. Grafana
19. OpenFalcon"
岗位职责1、负责后台游戏服务设计和开发；2、负责后台数据库设计和架构设计；3、负责后台核心模块代码开发和性能优化；4、负责项目组内常用工具链开发；5、项目推动及项目管理相关工作；任职要求：1、3年以上服务端开发工作经验，至少1年python使用经验2、扎实的计算机基础，熟悉常用数据结构、设计模式等3、熟练掌握至少一种常用的web框架（Flask\Fastapi\tornado\django）4、熟悉常用的数据库及中间件（Nginx\Redis\MongoDb\docker\k8s），并了解其特性和应用场景；5、较强的沟通能力，逻辑思维能力，善于思考，能独立分析和解决问题，积极主动6、有大型分布式、高并发、高负载、高可用性系统设计开发、容器化相关经验优先,"技术栈：

1. Python
2. Flask
3. Fastapi
4. Tornado
5. Django
6. Nginx
7. Redis
8. MongoDB
9. Docker
10. Kubernetes (k8s)"
岗位职责：1- 负责云平台相关软件的规划和设计，用以管理和维护云系统，监控业务服务状态，及时解决故障并优化；2- 负责研发云平台相关模块以及周边业务模块；3- 负责云计算前沿技术的研究与应用。任职条件：1- 计算机相关专业本科及以上学历，2年以上开发经验，有较强的技术架构能力；2- 2年以上云平台开发或者运维相关经验，有腾讯、阿里、AWS公有云或私有云开发经验优先；3- 熟悉云相关产品，如分布式文件系统、OpenStack、云主机、VPC、负载均衡、对象存储、CDN、消息队列等平台或组件；4- 熟悉Xen、KVM、Hyper-V等虚拟化技术；5- 熟练掌握Python、Java或GO；6- 熟悉linux系统及相关命令。,"技术栈：

1. 云平台：腾讯云、阿里云、AWS
2. 虚拟化技术：Xen、KVM、Hyper-V
3. 编程语言：Python、Java、GO
4. 操作系统：Linux
5. 云相关产品：分布式文件系统、OpenStack、云主机、VPC、负载均衡、对象存储、CDN、消息队列"
"工作地点：北京职位类别：技术类工作年限：二年以上招聘人数：1人发布日期：2021年2月23日岗位职责：负责腾讯地图后台引擎服务系统研发, 使用最优秀的架构设计及算法实现，在路线规划, 搜索推荐, 实时公交, 轨迹匹配, 智能到达时间预估等方向, 为海量互联网用户提供高性能高可用高可扩展的后台服务.岗位要求：1, 硕士以上学历, 有竞赛获奖经历优先 2, 深入理解计算机基本算法和数据结构 3, 熟练掌握C/C++编程语言, 熟悉shell/python脚本语言, 有良好的代码质量意识 4, 熟悉操作系统原理, 熟悉linux常见api, 熟练掌握linux环境下的多线程服务端编程技术. 5, 有机器学习经验优先 6, 有搜索排序, 推荐系统, 地图等方面的后台研发经验优先","技术栈：

1. 编程语言：C/C++、Python、Shell
2. 操作系统：Linux
3. 数据结构和算法：计算机基本算法和数据结构
4. 机器学习：有机器学习经验优先
5. 后台研发技术：多线程服务端编程技术
6. 领域经验：搜索排序、推荐系统、地图等方面的后台研发经验优先"
岗位要求：1、精通JAVA、C++等至少一种开发语言，至少5年以上架构设计和代码开发工作经验；2、精通大数据hadoop（Flink\Spark\Hudi\kafka等）实时组件原理，熟悉实时数据计算框架，有实时计算相关工作经验者优先；3、熟悉至少一种数据库，如PostgreSQL、mySQL、高斯（GaussDB、open gauss）、Oracle、HANA、Sybase等4、熟悉数据仓库及数据标签体系建设理论与方法，了解数据仓库及数据标签等OALP领域技术架构，有大型湖仓一体建设经验者优先；其他：1、5年以上工作经验，有toB、toC业务数据分析应用经验者优先2、英语四六级证书（要求提供证书原价）,"技术栈：

1. JAVA
2. C++
3. Hadoop
4. Flink
5. Spark
6. Hudi
7. Kafka
8. PostgreSQL
9. mySQL
10. 高斯（GaussDB、open gauss）
11. Oracle
12. HANA
13. Sybase"
岗位职责：1、负责产品软件需求分析和软件开发工作。2、参与软件核架构设计，图片文本识别，情感分类以及金融领域模型开发等。3、理解公司现有代码并修改优化。4、与产品经理对接需求。5、运维数据服务、已有python服务等。任职要求：1、本科及以上学历，具有一年以上工作经验。2、具有扎实的数据结构知识和代码能力。3、熟悉Git、Linux基本操作命令。4、熟悉主流数据库Mysql或Oracle等基本语法。5、熟练使用正则表达式。6、具有高度的责任心，善于思考，沟通能力强。7、有项目经验，Python等常见脚本开发语言，对tornado、flask、sklearn或tesseract等相关第三方库有使用经历者优先考虑。8、期望具备强烈进取心、积极主动做事及抗压能力。,"技术栈：

1. Git
2. Linux
3. Mysql
4. Oracle
5. 正则表达式
6. Python
7. Tornado
8. Flask
9. Sklearn
10. Tesseract"
【职位描述】1. 负责华为研发领域，离线/实时数据仓库设计开发，支撑需求分析、方案设计、开发、测试、运维等工作2. 充分理解数据需求，转化为合理的数据模型，实现数据类业务需求的开发落地3. 参与业务数据资产的治理，对数仓进行分层建设4. 按照开发流程标准，输出开发过程文档，包括但不限于业务方案设计、数据IT方案设计、测试报告等5. 持续提升数据质量，构建并完善数据治理业务逻辑与功能。 【任职要求】1. 从事数据开发工作3年或以上，参与过中、大型数据仓库从0到1建设的优先（PB级）2. 深入理解常用的数据建模理论，并有实际模型设计和ETL开发经验，可独立把控数据仓库各层级的设计3. 熟悉大数据生态相关技术，具备相关组件（Hadoop、Hive、Spark、Flink、Storm、Druid、Kafka、Hbase、ClickHouse、MySQL、Mongo DB）应用开发经验，有Kylin、Superset等OLAP数据可视化相关经验者优先4. 具备良好的SQL开发和性能调优能力，具有良好的编程习惯和文档编写习惯5. 对数据敏感，具有良好的逻辑分析、责任心强、良好的对外沟通和团队协作能力6. 熟悉Java编程语言进行开发，并能够通过流计算引擎实现实时数据流数据处理者优先,"技术栈：

1. Hadoop
2. Hive
3. Spark
4. Flink
5. Storm
6. Druid
7. Kafka
8. Hbase
9. ClickHouse
10. MySQL
11. MongoDB
12. Kylin
13. Superset
14. Java"
岗位职责：1.参与数据探查，数据清洗等工作；2.参与数据分析，数据逻辑探查，指标特征开发，数据链路建设等工作；3.模型建立，模型调优，模型部署及运维等工作；4.参与撰写报告中的技术部分和数据部分；5.完成上级交办的其他工作。岗位要求：1.精通python数据处理，熟练使用pandas、sklearn等模块；2.熟练使用mysql、hive等数据库，能够使用sql进行数据分析；3.熟悉主流机器学习算法：有监督、无监督模型、集成模型等，有实际应用经验；4.三年以上相关工作经验，有能独立负责分析挖掘项目（数据和算法部分）经验；5.有银行或其他金融机构数据分析、数据挖掘项目经验优先，能撰写分析报告优先；6.自我驱动，良好的沟通能力，有创新思维和良好的框架性思维,"技术栈：

1. Python
2. Pandas
3. Sklearn
4. Mysql
5. Hive
6. SQL"
"岗位职责：负责数据网关后台的开发相关工作。任职要求：1.熟练掌握python、Shell语言的使用，理解Python中的装饰器、魔术方法等高级语法；2.熟悉python多进程、多线程、协程的编程开发；3.熟悉linux操作系统并能够在Linux环境下进行项目的开发；4.熟悉HTTP、HTTPS、TCP、UDP等网络协议；5.熟练掌握django、Django DRF、flask其中一种或多种开发框架；6.熟练掌握mysql、redis、clickhouse多种关系型和非关系型数据库7.掌握nginx、uwsgi、gunicorn等中间件的部署,并在Linux上有独立的项目部署和上线经验；加分项：敏感数据识别、图数据库、neo4j","技术栈:

1.  Python
2.  Shell
3.  Linux
4.  HTTP
5.  HTTPS
6.  TCP
7.  UDP
8.  Django
9.  Django DRF
10. Flask
11. Mysql
12. Redis
13. Clickhouse
14. Nginx
15. Uwsgi
16. Gunicorn"
1.开发和维护后端 Python 服务框架产品；2.开发和维护基于 Django 的 Python Web 框架的数据接口和数据统计、分析等模块产品；3.完成公司基于Python开发的相关产品的开发工作，参与产品的需求分析和设计；4.完成基于 Vue 的页面开发；外援任职要求1.熟练掌握Python语言，熟练使用第三方库，有Web开发经验；2.熟悉Django和Django REST framework；3.熟悉Linux操作系统，能够进行日常服务器运维部署；4.熟悉MySQL 、StarRocks 数据库的使用与性能优化；5.熟悉HTTP协议及原理，Socket通信；6.熟悉前端开发HTML+CSS，Javascript，Vue，Ajax；7.对全栈开发有强烈意愿;,"技术栈:

1. Python
2. Django
3. Django REST framework
4. Linux
5. MySQL
6. StarRocks
7. HTML
8. CSS
9. Javascript
10. Vue
11. Ajax"
懂pthon后台开发，熟悉爬虫技术,"技术栈: 
1. Python
2. 后台开发框架（如Django、Flask等）
3. 爬虫技术相关库（如Scrapy、BeautifulSoup等）"
职位亮点：项目目前已上线运营，略有营收，欢迎体验详聊1. 要求：精通python，尤其善长从网站上取数据，后端开发，至少3年以上相关工作经验，同时熟悉前端小程序，APP，WEB开发优先。 2. 工作内容：短期内主要负责从网站上取数据等工作，逐步全面负责项目技术方面的工作 3.合作模式：股权合作，共同创业，需有较多的时间分配至合作项目中。 备注：创业型项目，项目目前已上线运营，略有营收，欢迎体验详聊,"技术栈: 

1. Python
2. 前端开发（小程序、APP、WEB）"
"【岗位职责】算法开发与优化：熟练运用Python语言，对深度学习算法有深入理解和实践经验，特别是对图像分类、目标检测等领域有扎实的理论基础和实践经验。模型训练与验证：负责深度学习模型（特别是YOLO系列，如YOLOv5、YOLOv8）的搭建、训练与调优，根据项目需求优化模型性能，提升识别精度和效率。工程化部署：将训练好的模型集成到实际应用系统中，参与模型的部署、测试及优化工作，确保模型在生产环境中的稳定运行。技术创新与研究：跟踪最新的深度学习技术和研究成果，探索并应用新技术提升产品竞争力。团队协作：与产品经理、数据工程师等跨部门团队紧密合作，共同推进项目进度，确保按时高质量交付。【任职要求】教育背景：计算机科学、电子工程、自动化、数学等相关专业本科及以上学历。编程技能：精通Python编程，熟悉常用的Python库（如NumPy, Pandas, PyTorch等）。深度学习经验：至少1年以上深度学习项目经验，熟悉CNN、RNN等常见神经网络架构，有YOLO系列或其他目标检测框架实践经验。工程能力：具备良好的软件工程思维，熟悉模型部署流程，有Docker等容器化技术经验者尤佳。沟通与团队精神：良好的沟通能力和团队合作精神，能够快速适应变化，有效推进项目进展。加分项：有计算机视觉目标检测相关项目经验，或在知名学术期刊/会议上发表过相关论文者优先考虑。","技术栈：

1. Python
2. NumPy
3. Pandas
4. PyTorch
5. CNN
6. RNN
7. YOLO
8. Docker"
【岗位职责】在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：（1）完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；（2）创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等；（3）有机会参与业界前沿技术研究和规划，参与开源社区运作，与全球专家一起工作、交流，构建华为在业界影响力。【岗位要求】1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、对数据结构、算法有一定了解；5、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织；（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术。,"技术栈：

1. JAVA
2. C++
3. C
4. Python
5. JS
6. HTML
7. GO
8. TCP/IP
9. JS
10. AS
11. AJAX
12. HTML5
13. CSS"
岗位职责：1、负责基于Langchain和AutoGPT等大模型技术研究，搭建高效的产品应用系统架构2、设计和开发大模型产品，包括语言生成、自然语言处理、语音识别、图像识别等应用场景3、研究新的大模型技术和算法，探索它们在产品中的应用并落地4、负责大模型产品的开发、测试、发布、维护和优化，确保产品的高可用性和稳定性5、与产品经理、设计师、测试工程师等团队成员合作，确保产品的需求和功能得到充分满足6、不断学习新的技术和知识，保持技术领先和创新任职要求：1、计算机、信息工程等相关专业本科或以上学历，有扎实的计算机基础知识和编程能力2、熟悉开源社区Github中大模型相关技术，包括但不限于langchain和AutoGPT3、熟练掌握Python编程语言和深度学习框架，如Tensorflow、PyTorch等4、了解语言模型、自然语言处理、语音识别、图像识别等相关领域的技术和算法5、具备良好的分析和解决问题的能力，能够独立思考和解决复杂的技术问题6、具有较强的团队合作意识和沟通能力，能够与团队成员高效协作，共同完成项目目标7、对新技术和新知识保持敏锐的感知和好奇心，具备不断学习和自我提升的能力8、有大模型产品研发经验和相关领域的工作经验者优先加分项：在顶级会议或期刊发表过相关领域的论文在知名竞赛中取得过优异成绩有开源项目经验，熟悉开源社区具备分布式计算、大数据处理、云计算等相关经验,"技术栈：

1. Python
2. Tensorflow
3. PyTorch
4. Langchain
5. AutoGPT"
"岗位职责： 1.cv图像处理预识别，预标注，数据清洗入库2.数据拉流推流，爬虫采集2. 各类训练数据准备（文字和图片都有、涉及数据模拟自动生成等） 3. 各类数据自动化工具开发，涉及数据清洗及标注等职位要求: 1. 本科以上学历，3年以上编程经验; 2. 精通python语言, shell脚本编写；3.熟练掌握ffmpeg，cv2等的使用3. 熟悉常用数据分析库numpy、pandas等；熟悉opencv-python、pillow处理图片；熟悉常用数据库mongodb、mysql等；4. 有机器学习，自然语言处理等开发经验优先5.善于沟通，有较强分析和解决问题的能力，有良好的团队合作精神","技术栈:

1. Python
2. Shell
3. FFmpeg
4. OpenCV-python
5. Pillow
6. NumPy
7. Pandas
8. MongoDB
9. MySQL"
